jurisdiccion,fecha,salario_promedio
San Luis,2021-12-01,149640.93392619127
Santa Cruz,2021-12-01,282409.02343591716
Santa Fe,2021-12-01,149693.65953019695
Santiago del Estero,2021-12-01,101030.44566604302
Tierra del Fuego,2021-12-01,247667.66953056774
Tucumán,2021-12-01,116299.41483267263
Buenos Aires,2022-01-01,118975.10763963366
C.A.B.A.,2022-01-01,152143.29991322814
Catamarca,2022-01-01,86430.70445372189
Chaco,2022-01-01,85653.43039287302
Chubut,2022-01-01,179851.33307869438
Corrientes,2022-01-01,88537.35902328251
Córdoba,2022-01-01,106359.92397207161
Entre Ríos,2022-01-01,97225.57349128945
Formosa,2022-01-01,89251.30588799101
Jujuy,2022-01-01,92288.31436569405
La Pampa,2022-01-01,102984.98285498456
La Rioja,2022-01-01,84014.16944696264
Mendoza,2022-01-01,91981.37414600702
Misiones,2022-01-01,82877.8476051843
Neuquén,2022-01-01,172049.0985132097
Río Negro,2022-01-01,103692.02845210051
Salta,2022-01-01,89597.7678738614
San Juan,2022-01-01,114301.99140465536
San Luis,2022-01-01,112533.80285651387
Santa Cruz,2022-01-01,211414.87411780586
Santa Fe,2022-01-01,113345.21187411399
Santiago del Estero,2022-01-01,78123.54294834367
Tierra del Fuego,2022-01-01,155108.38676702252
Tucumán,2022-01-01,88356.96537171183
Buenos Aires,2022-02-01,117398.80679681394
C.A.B.A.,2022-02-01,154133.4951606421
Catamarca,2022-02-01,87900.22052202094
Chaco,2022-02-01,86304.77953740508
Chubut,2022-02-01,186897.03850096875
Corrientes,2022-02-01,88380.6218883685
Córdoba,2022-02-01,102846.81658789195
Entre Ríos,2022-02-01,95580.13218176049
Formosa,2022-02-01,91279.89391594307
Jujuy,2022-02-01,89975.3557397066
La Pampa,2022-02-01,107469.79637098683
La Rioja,2022-02-01,75565.92061681036
Mendoza,2022-02-01,91985.0455498841
Misiones,2022-02-01,83030.09310193418
Neuquén,2022-02-01,178266.83563842988
Río Negro,2022-02-01,115801.06596869983
Salta,2022-02-01,93659.45025709363
San Juan,2022-02-01,107798.81481720359
San Luis,2022-02-01,109303.02998915596
Santa Cruz,2022-02-01,246421.56642444868
Santa Fe,2022-02-01,113810.55196713858
Santiago del Estero,2022-02-01,79182.89420944787
Tierra del Fuego,2022-02-01,158077.02877029584
Tucumán,2022-02-01,88017.04085206972
Buenos Aires,2022-03-01,132065.4518296194
C.A.B.A.,2022-03-01,172849.71088859392
Catamarca,2022-03-01,99604.7402587083
Chaco,2022-03-01,90881.66929004269
Chubut,2022-03-01,196640.43200721568
Corrientes,2022-03-01,93188.15873887704
Córdoba,2022-03-01,111771.90059934798
Entre Ríos,2022-03-01,102727.38460678938
Formosa,2022-03-01,95621.80255063265
Jujuy,2022-03-01,102354.6363833843
La Pampa,2022-03-01,108485.54167308482
La Rioja,2022-03-01,82800.89830717487
Mendoza,2022-03-01,100520.19916704105
Misiones,2022-03-01,88187.56291455994
Neuquén,2022-03-01,205303.36003912927
